Música;Intérprete ;Compasso (s)
De Mala e Cuia;Camarão  ;1.002
O Casamento da Raposa;Nicolas Krassik;1.033
É Proibido Cochilar*;Circuladô de Fulô   ;1.090
Menina Bela;Trio Maracaia ;1.108
Baião Caçula*;Dominguinhos   ;1.121
Forró Animado;Marinalva;1.131
De Tamanco Mulher*;Trio Forrozão   ;1.139
Enxuga o Rato;Zé Ranulfo de S. Talhada;1.140
Não Tô Nem Ai;Os Filhos de Vitor;1.160
Baião Jovem*;Trio Dona Zefa   ;1.164
Plantio de Amor;Dominguinhos;1.165
Novinho Em Folha;Trio Xamego;1.179
Seu Siriri;Trio Dona Zefa   ;1.189
Evolução;Ary Lobo;1.193
Canto do Sabiá*;Trio Dona Zefa   ;1.204
Tem Problema Não*;Trio Bastião   ;1.206
O Melhor Forró do Munundo;Os 3 do Nordeste;1.209
O Baião Que Deu ;David Cruz;1.216
Forró do Bole Bole;Trio Nordestino;1.224
Você vai se Machucar*;Trio Dona Zefa  ;1.238
Tem Quem Reze Por Mim;Trio Juazeiro;1.238
Avisa*;Falamansa   ;1.243
Agradar Você;Trio Potiguá;1.244
Alambique de Barro*;Os 3 do Nordeste   ;1.245
Cigano Terrorista*;Trio Cangaço   ;1.246
Cantiga do Sapo;Jackson do Pandeiro;1.247
Tome Forró;Dona Zaíra ;1.248
Esconderijo do Amor*;Genaro   ;1.249
Coração Molim;Luiz Gonzaga;1.250
Eu Balanço;Jackson do Pandeiro;1.251
Sete meninas;Jackson do Pandeiro;1.252
É Bom Pra Valer;Os 3 do Nordeste;1.259
Sereia do Mar;Camarão;1.261
Matilde;Forróçana;1.263
Ta Esquentando*;Trio Dona Zefa   ;1.264
Pé do Lajeiro;João do Vale;1.264
Briga de Artista*;Trio Dona Zefa   ;1.264
Eu sou assim;Marinalva;1.267
O Sertão Te Espera;Dominguinhos;1.272
Só Via Faca Voar;Bezerra da Silva  ;1.275
Tenente Bezerra;Genival Lacerda;1.289
Baioneiro Gonzaga?o*;Trio Dona Zefa   ;1.290
Chuva Miúda;Ary Lobo ;1.298
Sambarcando;João do Pife;1.299
Samba da Boca do Mato ;Elino Julião;1.310
Me Chamo Forró;Ó do Forró ;1.320
Até o Dia Clarear;Os 3 do Nordeste;1.323
Baião de Respeito*;Dona Zaíra   ;1.333
Xote dos Milagres*;Falamansa   ;1.347
Começaram a Gritar ;Ó do Forró;1.349
Desilusão*;Dominguinhos   ;1.363
Gabriela;Trio Meketréfe;1.365
Minha Dita é Desse Jeito;Cachimbinho;1.366
Produto Nacional*;Trio Dona Zefa   ;1.367
Asas*;Bicho de Pé   ;1.375
Amor de Mentirinha;Jackson do Pandeiro;1.377
Vida Boa Danada*;Trio Dona Zefa   ;1.381
Dona Mariquinha;A Barca;1.391
Menino Prodígio;Ary Lobo  ;1.396
Anjo da Guarda Noturno*;Bicho de Pé  ;1.424
Amanhecer*;Os 3 Cangaceiros  ;1.449
Baião*;Balança Eu   ;1.453
Súplica Cearense;Gordurinha;1.454
100 anos*;Falamansa   ;1.454
De Mala e Cuia;Trio Virgulino  ;1.463
Encosta n'Eu*;Estakazero;1.501
Bata a Porta*;Black   ;1.543
Lilith*;Alcalyno   ;1.570
Medo de Escuro*;Falamansa  ;1.582
Vem me Ver*;Circuladô de Fulô   ;1.582
Amor de Rede ;Trio Jurití;1.600
Xote Universitario*;Falamansa   ;1.601
Fino Trato;Forró na Contramão   ;1.645
Você Já Fez Morada Em Meu Juízo;Trio Xamego;1.646
Nosso xote*;Bicho de Pé   ;1.666
Acalanto*;Black e Bárbara Greco   ;1.666
Eu e Você*;Bicho de Pé   ;1.675
Como Todo Amor*;Forrueiros   ;1.714
Nossos Olhos*;Forró Massapê   ;1.716
Casinha Pronta*;Black   ;1.752
Feitiço da Lua*;Forrueiros   ;1.795
Flor de Lis*;Circuladô de Fulô   ;1.892
